id,title,category,location,description,slug,image,timeOfDay,mood,priceLevel,tips,longDescription,trending
11,Baking Class,Food & Drink,"{""type"":""indoor"",""setting"":""kitchen studio""}",Learn to bake delicious pastries and bread.,"https://ljixbbwscwfdqygjmljq.supabase.co/storage/v1/object/public/date-images/baking_class_food_&_drink_interracial_couple_400x300_176051391055.jpg",/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""cozy""}",Moderate,Wear comfortable clothes and bring an apron.,Learn to bake delicious pastries and bread together in a fun and interactive class.,
12,Baking Together,Food & Drink,"{""type"":""indoor"",""setting"":""home""}",Bake your favorite treats together using a new recipe.,"https://ljixbbwscwfdqygjmljq.supabase.co/storage/v1/object/public/date-images/baking_together_food_&_drink_latino_couple_400x300_176051392404.jpg",/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""cozy""}",Affordable,Choose a recipe and divide the tasks.,Bake your favorite treats together using a new recipe and enjoy the process.,
13,Ballet Performance,Entertainment,"{""type"":""indoor"",""setting"":""theater""}",Watch a beautiful ballet performance.,"https://ljixbbwscwfdqygjmljq.supabase.co/storage/v1/object/public/date-images/ballet_performance_entertainment_diverse_couple_400x300_17605139.jpg",/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""fun""}",Moderate,Dress up and arrive early for good seats.,Enjoy a graceful ballet performance together.,
14,Beach Day,Outdoor,"{""type"":""outdoor"",""setting"":""waterfront""}",Spend a day relaxing at the beach.,"https://ljixbbwscwfdqygjmljq.supabase.co/storage/v1/object/public/date-images/beach_cinema_entertainment_caucasian_couple_400x300_176051590612.jpg",/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""romantic""}",Affordable,Bring a towel and sunscreen.,Relax and enjoy a day at the beach together.,
15,Beach Picnic at Sunset,Outdoor,"{""type"":""outdoor"",""setting"":""waterfront""}",Enjoy a romantic meal with a stunning sunset view.,"https://ljixbbwscwfdqygjmljq.supabase.co/storage/v1/object/public/date-images/beach_cinema_entertainment_caucasian_couple_400x300_176051590612.jpg",/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""romantic""}",Affordable,"Bring blankets, citronella candles, and plenty of water.",Create a magical evening with delicious food and stunning sunset views by the water.,
16,Beach Yoga,Relaxation,"{""type"":""outdoor"",""setting"":""waterfront""}",Practice yoga on the beach at sunrise or sunset.,"https://ljixbbwscwfdqygjmljq.supabase.co/storage/v1/object/public/date-images/beach_cinema_entertainment_caucasian_couple_400x300_176051590612.jpg",/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""rejuvenating""}",Affordable,Bring a yoga mat and wear comfortable clothes.,Practice yoga on the beach together.,
17,Bike Ride,Outdoor,"{""type"":""outdoor"",""setting"":""trail""}",Rent bikes and explore your city or nearby trails.,bike-ride,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""active"",""vibe"":""romantic""}",Affordable,Wear comfortable clothes and bring water.,Enjoy a scenic bike ride together and explore new trails.,
18,Bird Watching,Outdoor,"{""type"":""outdoor"",""setting"":""nature reserve""}",Observe and identify different bird species.,bird-watching,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""peaceful""}",Affordable,Bring binoculars and wear comfortable shoes.,Observe and identify different bird species in a peaceful and scenic setting.,
19,Board Game Night,Entertainment,"{""type"":""indoor"",""setting"":""home""}",Play your favorite board games together.,board-game-night,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""playful""}",Affordable,Choose games that both of you enjoy.,Play your favorite board games together and enjoy the competition.,
20,Boat Ride,Outdoor,"{""type"":""outdoor"",""setting"":""waterfront""}",Enjoy the water together on a relaxing boat ride.,boat-ride,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""peaceful""}",Moderate,Bring sunscreen and water; wear clothes that can get wet.,Enjoy meaningful conversations while floating peacefully on calm waters.,
21,Book Club for Two,Cultural,"{""type"":""indoor"",""setting"":""home""}",Read a book together and discuss your thoughts.,book-club-for-two,/placeholder.svg?height=300&width=400,Varies,"{""pace"":""relaxed"",""vibe"":""intellectual""}",Affordable,Choose a book that both of you are interested in.,Read a book together and discuss your thoughts and feelings.,
22,Botanical Garden Tour,Outdoor,"{""type"":""outdoor"",""setting"":""garden""}",Explore beautiful gardens and learn about plants.,botanical-garden-tour,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""romantic""}",Affordable,Wear comfortable shoes and dress casually.,Explore beautiful botanical gardens and appreciate nature together.,
23,Bowling,Entertainment,"{""type"":""indoor"",""setting"":""bowling alley""}",Enjoy friendly competition at a bowling alley.,bowling-2,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""leisurely"",""vibe"":""playful""}",Affordable,Most alleys provide shoes for rental.,Challenge each other to a fun game of bowling followed by drinks and appetizers.,
24,Breakfast in Bed,Food & Drink,"{""type"":""indoor"",""setting"":""home""}",Prepare a special breakfast with waffles and toppings.,breakfast-bed,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""intimate""}",Affordable,Prepare toppings in advance for a build-your-own waffle bar.,Start the day with sweetness and indulgence without leaving the comfort of your bed.,
25,Broadway Show,Entertainment,"{""type"":""indoor"",""setting"":""theater""}",Catch a Broadway performance in your city.,broadway-show,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""fun""}",Moderate,Dress up and arrive early for good seats.,Experience the magic of Broadway with a live performance.,
26,Bungee Jumping,Adventure,"{""type"":""outdoor"",""setting"":""bridge""}",Take the leap of faith together.,bungee-jumping,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""active"",""vibe"":""thrilling""}",High,Wear comfortable clothes and secure your belongings.,Experience the ultimate thrill of bungee jumping from a bridge.,
27,Burlesque Show,Entertainment,"{""type"":""indoor"",""setting"":""theater""}",Enjoy a glamorous burlesque performance.,burlesque-show,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""fun""}",Moderate,Dress up and arrive early for good seats.,Enjoy a glamorous burlesque performance in an elegant setting.,
28,Cable Cars,Adventure,"{""type"":""outdoor"",""setting"":""mountainside""}",Enjoy spectacular views from a scenic cable car ride.,cable-car-ride,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""scenic""}",Moderate,Bring a camera and dress in layers.,Experience breathtaking views and take stunning photos from high above in a cable car.,
29,Calligraphy Class,Cultural,"{""type"":""indoor"",""setting"":""studio""}",Learn the art of calligraphy.,calligraphy-class,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""creative""}",Moderate,Wear comfortable clothes and bring a notebook.,Learn the art of calligraphy in a fun and interactive class.,
30,Candlelit Dinner,Food & Drink,"{""type"":""indoor"",""setting"":""home""}",Prepare a romantic dinner at home with candles and soft music.,candlelit-dinner,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""romantic""}",Affordable,Set up a romantic atmosphere with candles and soft music.,Prepare a romantic dinner at home with candles and soft music.,
31,Champagne Brunch,Food & Drink,"{""type"":""indoor"",""setting"":""restaurant""}",Enjoy a brunch with champagne and gourmet food.,champagne-brunch,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""sophisticated""}",Moderate,Dress comfortably and arrive early.,Enjoy a brunch with champagne and gourmet food in a elegant setting.,
32,Circus Show,Entertainment,"{""type"":""indoor"",""setting"":""circus tent""}",Enjoy acrobatic performances and thrilling acts.,circus-show,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""fun""}",Moderate,Arrive early for good seats and dress comfortably.,Enjoy a thrilling circus show with acrobatic performances.,
33,Cocktail Making at Home,Food & Drink,"{""type"":""indoor"",""setting"":""home""}",Mix your own cocktails using recipes found online.,cocktail-making-at-home,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""leisurely"",""vibe"":""cozy""}",Affordable,Gather ingredients and follow a recipe together.,Mix your own cocktails using recipes found online and enjoy them together.,
34,Cocktail Making Class,Food & Drink,"{""type"":""indoor"",""setting"":""bar""}",Mix your own cocktails with a professional bartender.,cocktail-making,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""leisurely"",""vibe"":""cozy""}",Moderate,Wear comfortable clothes and bring an apron.,Learn to mix cocktails together in a fun and interactive class.,
35,Comedy Show,Entertainment,"{""type"":""indoor"",""setting"":""comedy club""}",Laugh together at a local comedy club.,comedy-show,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""fun""}",Affordable,Arrive early for good seats and dress comfortably.,Enjoy a night of laughter at a local comedy club.,
36,Concert,Entertainment,"{""type"":""indoor"",""setting"":""venue""}",Attend a concert of your favorite band or artist.,concert,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""fun""}",Moderate,Dress comfortably and arrive early for good seats.,Enjoy a live concert of your favorite band or artist.,
37,Cooking Class,Food & Drink,"{""type"":""indoor"",""setting"":""kitchen studio""}",Learn to cook a gourmet meal together with expert chefs in this hands-on cooking class.,cooking-class,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""leisurely"",""vibe"":""cozy""}",Moderate,Arrive early to secure a good spot and wear comfortable shoes.,This cooking class is a great way to bond with your partner while learning new culinary skills.,
38,Cooking Class at Home,Food & Drink,"{""type"":""indoor"",""setting"":""home""}",Follow an online cooking class and prepare a meal together.,cooking-class-at-home,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""leisurely"",""vibe"":""educational""}",Affordable,Find an online cooking class and gather ingredients.,Follow an online cooking class and prepare a meal together.,
39,Couples Book Club,Cultural,"{""type"":""indoor"",""setting"":""home""}",Read a book together and discuss your thoughts and feelings.,couples-book-club,/placeholder.svg?height=300&width=400,Varies,"{""pace"":""relaxed"",""vibe"":""intellectual""}",Affordable,Choose a book that both of you are interested in.,Read a book together and discuss your thoughts and feelings.,
40,Couples Massage,Relaxation,"{""type"":""indoor"",""setting"":""spa""}",Enjoy a relaxing massage together.,couples-massage,/placeholder.svg?height=300&width=400,Varies,"{""pace"":""relaxed"",""vibe"":""rejuvenating""}",High,Bring comfortable clothes and arrive early.,Enjoy a relaxing couples massage together.,
41,Yoga at Home,Relaxation,"{""type"":""indoor"",""setting"":""home""}",Practice yoga together using an online video.,couples-yoga-at-home,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""rejuvenating""}",Affordable,Find a yoga video online and follow along together.,Practice yoga together using an online video and find your zen.,
42,Cruise Ship,Adventure,"{""type"":""outdoor"",""setting"":""waterfront""}","Enjoy a short cruise with dinner, entertainment and views.",cruise-ship,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""leisurely"",""vibe"":""elegant""}",High,Check the dress code and arrive early.,"Enjoy a romantic evening on the water with dinner, dancing and beautiful views.",
43,Cultural Festival,Cultural,"{""type"":""outdoor"",""setting"":""urban""}",Attend a festival celebrating a different culture.,cultural-festival,/placeholder.svg?height=300&width=400,Varies,"{""pace"":""varied"",""vibe"":""festive""}",Affordable,Dress comfortably and bring a light jacket.,Experience a different culture at a local festival.,
44,Dance Class,Cultural,"{""type"":""indoor"",""setting"":""dance studio""}","Learn salsa, swing, or another dance style together.",dance-class-2,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""active"",""vibe"":""energetic""}",Affordable,No experience necessary; wear comfortable shoes.,Learn to move together in harmony while mastering the basics of a new dance style.,
46,DIY Movie Theater,Entertainment,"{""type"":""indoor"",""setting"":""home""}",Set up a movie theater at home with snacks and comfortable seating.,diy-movie-theater,/placeholder.svg?height=300&width=400,Night,"{""pace"":""relaxed"",""vibe"":""cozy""}",Affordable,Prepare snacks and set up a cozy viewing area.,Set up a movie theater at home with snacks and comfortable seating.,
47,DIY Photo Shoot,Cultural,"{""type"":""indoor"",""setting"":""home""}",Set up a photo shoot at home with props and costumes.,diy-photo-shoot,/placeholder.svg?height=300&width=400,Varies,"{""pace"":""leisurely"",""vibe"":""creative""}",Affordable,Gather props and costumes and set up a backdrop.,Set up a photo shoot at home with props and costumes and capture memorable photos.,
48,DIY Pizza,Food & Drink,"{""type"":""indoor"",""setting"":""kitchen studio""}",Make your own pizzas with fresh ingredients.,diy-pizza,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""leisurely"",""vibe"":""cozy""}",Affordable,Wear comfortable clothes and bring an apron.,Make your own pizzas with fresh ingredients in a fun and interactive class.,
49,DIY Spa Day,Relaxation,"{""type"":""indoor"",""setting"":""home""}",Create a relaxing spa day at home with face masks and massages.,diy-spa-day,/placeholder.svg?height=300&width=400,Varies,"{""pace"":""relaxed"",""vibe"":""rejuvenating""}",Affordable,Prepare face masks and set up a relaxing atmosphere.,Create a relaxing spa day at home with face masks and massages.,
50,Drag Show,Entertainment,"{""type"":""indoor"",""setting"":""club""}",Experience a vibrant drag show with live performances.,drag-show,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""fun""}",Moderate,Dress up and arrive early for good seats.,Experience a vibrant drag show with live performances in an energetic setting.,
51,Drive-In Movie,Entertainment,"{""type"":""outdoor"",""setting"":""drive-in""}",Watch a movie from the comfort of your car.,drive-in-movie,/placeholder.svg?height=300&width=400,Night,"{""pace"":""relaxed"",""vibe"":""nostalgic""}",Affordable,"Bring blankets, pillows and your own snacks.",Experience old-school romance watching a movie under the stars from your car.,
52,E-Bike City Tour,Outdoor,"{""type"":""outdoor"",""setting"":""urban""}",Explore your city on electric bikes with ease.,e-bike-city-tour,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""active"",""vibe"":""adventurous""}",Moderate,No special fitness required due to electric assist.,Discover hidden gems in your city while enjoying an easy ride on electric bikes.,
53,Escape Room Adventure,Adventure,"{""type"":""indoor"",""setting"":""theme room""}",Work together to solve puzzles and escape a themed room.,escape-room-adventure,/placeholder.svg?height=300&width=400,Varies,"{""pace"":""active"",""vibe"":""thrilling""}",Moderate,"Book in advance, especially for weekend slots.",Test your teamwork and problem-solving skills as you work to escape before time runs out.,
54,Evening Hike with a View,Outdoor,"{""type"":""outdoor"",""setting"":""trail""}",Hike to a scenic viewpoint for sunset or city lights.,evening-hike,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""active"",""vibe"":""romantic""}",Affordable,Bring headlamps for the return journey and water.,Share a magical moment at the summit with beautiful views and a special connection.,
55,Farmers Market,Food & Drink,"{""type"":""outdoor"",""setting"":""market""}",Browse local produce and artisanal products together.,farmers-market,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""foodie""}",Affordable,Bring reusable bags and cash for small vendors.,Sample fresh local foods while planning a meal to cook together with your purchases.,
56,Fishing Trip,Outdoor,"{""type"":""outdoor"",""setting"":""waterfront""}",Spend a day fishing on a lake or river.,fishing-trip,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""peaceful""}",Moderate,Bring a hat and sunscreen.,Spend a day fishing on a lake or river and enjoy the peaceful surroundings.,
57,Float Therapy,Relaxation,"{""type"":""indoor"",""setting"":""spa""}",Experience sensory deprivation in a float tank.,float-therapy,/placeholder.svg?height=300&width=400,Varies,"{""pace"":""relaxed"",""vibe"":""rejuvenating""}",Moderate,Wear comfortable clothes and arrive early.,Experience sensory deprivation in a float tank together.,
58,Food Tour,Food & Drink,"{""type"":""outdoor"",""setting"":""urban""}",Explore local food spots on a guided tour.,food-tour,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""gourmet""}",Moderate,Wear comfortable shoes and bring a light jacket.,Explore local food spots and sample delicious cuisines on a guided tour.,
59,Food Truck Festival,Food & Drink,"{""type"":""outdoor"",""setting"":""urban park""}",Sample a variety of cuisines from local food trucks.,food-truck-festival,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""cozy""}",Affordable,Wear comfortable shoes and bring a light jacket.,Enjoy a variety of delicious food from local food trucks.,
60,Garden Party,Outdoor,"{""type"":""outdoor"",""setting"":""garden""}",Attend a garden party with live music and food.,garden-party,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""romantic""}",Moderate,Dress comfortably and bring a light jacket.,Enjoy a garden party with live music and delicious food.,
61,Gardening Together,Outdoor,"{""type"":""outdoor"",""setting"":""garden""}","Plant flowers, herbs or vegetables together.",gardening-together,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""nurturing""}",Affordable,Choose plants appropriate for your climate and space.,"Create something that will grow and flourish over time, just like your relationship.",
62,Hiking,Outdoor,"{""type"":""outdoor"",""setting"":""trail""}",Explore local hiking trails and enjoy nature.,hiking,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""active"",""vibe"":""romantic""}",Affordable,Wear comfortable shoes and bring water.,Explore beautiful hiking trails and enjoy nature together.,
63,Historical Reenactment,Cultural,"{""type"":""outdoor"",""setting"":""historical site""}",Experience a historical event brought to life.,historical-reenactment,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""varied"",""vibe"":""educational""}",Moderate,Dress comfortably and bring a light jacket.,Experience a historical event brought to life in an interactive and educational setting.,
64,Historical Walking Tour,Cultural,"{""type"":""outdoor"",""setting"":""urban""}",Explore the history of your city on a guided tour.,historical-walking-tour,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""educational""}",Affordable,Wear comfortable shoes and dress casually.,Learn about the history of your city on a guided walking tour.,
65,Home Cocktail Party,Food & Drink,"{""type"":""indoor"",""setting"":""home""}",Mix your own cocktails and enjoy them with snacks.,home-cocktail-party,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""leisurely"",""vibe"":""sophisticated""}",Affordable,Gather ingredients and follow recipes together.,Mix your own cocktails and enjoy them with snacks in a relaxed setting.,
66,Home Tea Tasting,Food & Drink,"{""type"":""indoor"",""setting"":""home""}",Sample different teas and discuss your favorites.,home-tea-tasting,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""cozy""}",Affordable,Choose a variety of teas and set up a tasting area.,Sample different teas and discuss your favorites in a relaxed setting.,
67,Home Wine and Paint Night,Cultural,"{""type"":""indoor"",""setting"":""home""}",Paint while enjoying a glass of wine together.,home-wine-and-paint-night,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""leisurely"",""vibe"":""creative""}",Affordable,Set up art supplies and choose a subject to paint.,Paint while enjoying a glass of wine together and enjoy the process.,
68,Horseback Riding,Adventure,"{""type"":""outdoor"",""setting"":""countryside""}",Explore nature on a guided horseback riding tour.,horseback-riding,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""active"",""vibe"":""thrilling""}",Moderate,Wear comfortable clothes and closed-toe shoes.,Enjoy a scenic horseback riding tour through beautiful countryside.,
69,Hot Air Balloon Ride,Adventure,"{""type"":""outdoor"",""setting"":""countryside""}",Enjoy a bird's-eye view of scenic landscapes.,hot-air-balloon,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""active"",""vibe"":""thrilling""}",High,Dress in layers and wear comfortable shoes.,Experience the thrill of a hot air balloon ride with stunning views of the countryside.,
70,Hot Pot Dinner,Food & Drink,"{""type"":""indoor"",""setting"":""restaurant""}",Cook your own meal in a shared hot pot.,hot-pot-dinner,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""leisurely"",""vibe"":""cozy""}",Moderate,Wear comfortable clothes and bring an apron.,Cook your own meal in a shared hot pot and enjoy a variety of ingredients.,
71,Hot Springs,Relaxation,"{""type"":""outdoor"",""setting"":""waterfront""}",Visit natural hot springs and relax in the warm water.,hot-springs,/placeholder.svg?height=300&width=400,Varies,"{""pace"":""relaxed"",""vibe"":""rejuvenating""}",Affordable,Bring a swimsuit and towel.,Relax in natural hot springs together.,
72,Ice Cream Crawl,Food & Drink,"{""type"":""outdoor"",""setting"":""urban""}",Visit multiple ice cream shops to sample different flavors.,ice-cream-crawl,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""playful""}",Affordable,Research shops beforehand and map an efficient route.,Sample unique flavors at different ice cream spots while exploring your city.,
73,Ice Sculpting Class,Food & Drink,"{""type"":""indoor"",""setting"":""studio""}",Learn to carve ice sculptures together.,ice-sculpting,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""creative""}",Moderate,Wear comfortable clothes and bring gloves.,Learn to carve ice sculptures together in a fun and interactive class.,
74,Improv Comedy Show,Entertainment,"{""type"":""indoor"",""setting"":""comedy club""}",Enjoy a night of improv comedy and laughter.,improv-comedy-show,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""fun""}",Affordable,Arrive early for good seats and dress comfortably.,Enjoy a night of improv comedy and laughter in a fun and interactive setting.,
75,Indoor Rock Climbing,Adventure,"{""type"":""indoor"",""setting"":""varied""}",Challenge each other to scale new heights.,indoor-rock-climbing,/placeholder.svg?height=300&width=400,Varies,"{""pace"":""active"",""vibe"":""thrilling""}",Affordable,Wear comfortable clothes and closed-toe shoes.,Test your climbing skills and enjoy a fun workout together.,
76,"Jazz Night ",Entertainment,"{""type"":""indoor"",""setting"":""lounge""}",Enjoy sophisticated jazz music in an intimate setting.,jazz-night-lounge,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""sophisticated""}",Moderate,Check if there's a cover charge or minimum drink requirement.,Lose yourselves in smooth jazz rhythms while enjoying craft cocktails in a cozy atmosphere.,
77,Jigsaw Puzzle,Entertainment,"{""type"":""indoor"",""setting"":""home""}",Work on a challenging puzzle while enjoying wine.,jigsaw-puzzle,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""cozy""}",Affordable,Choose a puzzle with a meaningful or beautiful image.,Enjoy conversation and collaboration while slowly completing a beautiful puzzle together.,
78,Journaling Together,Cultural,"{""type"":""indoor"",""setting"":""home""}","Write about your relationship, future hopes, or memories.",journaling-together,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""introspective""}",Affordable,Purchase special journals and nice pens for the occasion.,Connect on a deeper level by sharing your written thoughts about your relationship.,
79,Jump Yard,Entertainment,"{""type"":""indoor"",""setting"":""trampoline park""}",Bounce and play at an indoor trampoline park.,jump-yard,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""active"",""vibe"":""playful""}",Affordable,Wear athletic clothes and bring water.,Feel like kids again as you bounce on trampolines and try aerial stunts.,
80,Karaoke Night,Entertainment,"{""type"":""indoor"",""setting"":""bar""}",Sing your favorite songs with friends.,karaoke-night,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""fun""}",Affordable,Dress comfortably and arrive early.,Sing your favorite songs with friends in a fun and social setting.,
